step,time,x0,x1,x2,x3,x4,x5,xhat0,xhat1,xhat2,xhat3,xhat4,xhat5
189,3.7800,0.3614,0.0766,-0.2057,-0.5665,1.5602,2.3198,0.1993,-0.2395,-0.2259,-1.5401,1.0292,2.3019
190,3.8000,0.3497,0.1067,-0.1525,-0.6079,1.4482,3.0005,0.3025,-0.1873,-0.1682,-0.9738,1.1732,2.9869
191,3.8200,0.3372,0.1343,-0.1034,-0.6388,1.3104,1.9130,0.3338,-0.1948,-0.1023,-0.7609,0.8037,1.9144
192,3.8400,0.3242,0.1596,-0.0718,-0.6622,1.2239,1.2420,0.4127,-0.0664,-0.0769,-0.3598,1.6025,1.2379
193,3.8600,0.3109,0.1820,-0.0542,-0.6809,1.0135,0.5219,0.3858,-0.0020,-0.0753,-0.4718,1.6617,0.5038
194,3.8800,0.2971,0.2000,-0.0422,-0.6971,0.7875,0.6750,0.3242,0.0706,-0.0738,-0.7254,1.7614,0.6480
195,3.9000,0.2831,0.2133,-0.0249,-0.7106,0.5393,1.0580,0.3643,0.1579,-0.0515,-0.4892,1.9403,1.0359
196,3.9200,0.2688,0.2213,-0.0081,-0.7207,0.2565,0.6151,0.2508,0.2375,-0.0336,-0.9600,1.9985,0.5944
197,3.9400,0.2544,0.2234,0.0102,-0.7278,-0.0436,1.2134,0.3648,0.3426,-0.0295,-0.3784,2.2312,1.1805
198,3.9600,0.2399,0.2191,0.0261,-0.7313,-0.3878,0.3781,0.2985,0.3092,0.0080,-0.6294,1.3041,0.3647
199,3.9800,0.2253,0.2092,0.0351,-0.7327,-0.6018,0.5290,0.1266,0.2516,-0.0012,-1.3524,0.4520,0.4998
200,4.0000,0.2107,0.1962,0.0571,-0.7315,-0.6929,1.6676,-0.0959,0.2101,0.0426,-2.2101,-0.0277,1.6581
201,4.0200,0.1962,0.1822,0.1013,-0.7239,-0.7139,2.7497,-0.0920,0.1639,0.0911,-1.9797,-0.4035,2.7443
202,4.0400,0.1819,0.1682,0.1511,-0.7068,-0.6782,2.2342,0.0368,0.2331,0.1523,-1.1958,0.2339,2.2390
203,4.0600,0.1681,0.1541,0.1814,-0.6816,-0.7375,0.7919,0.0569,0.1938,0.2011,-0.9539,-0.1654,0.8128
204,4.0800,0.1548,0.1393,0.1910,-0.6529,-0.7378,0.1683,0.0350,0.2195,0.2068,-0.9308,0.0613,0.1855
205,4.1000,0.1422,0.1242,0.1938,-0.6233,-0.7719,0.1166,0.0859,0.1766,0.2026,-0.5858,-0.3153,0.1272
206,4.1200,0.1301,0.1090,0.1916,-0.5937,-0.7498,-0.3423,0.1363,0.2483,0.2088,-0.2639,0.3158,-0.3243
207,4.1400,0.1186,0.0933,0.1797,-0.5656,-0.8220,-0.8481,-0.0315,0.2578,0.1998,-0.9515,0.2735,-0.8279
208,4.1600,0.1076,0.0762,0.1732,-0.5398,-0.8896,0.2058,-0.0235,0.2954,0.1829,-0.8018,0.4632,0.2164
209,4.1800,0.0972,0.0574,0.1766,-0.5140,-0.9874,0.1291,0.0104,0.3465,0.1730,-0.5531,0.6998,0.1278
210,4.2000,0.0873,0.0363,0.1763,-0.4881,-1.1235,-0.1595,-0.0102,0.3427,0.1603,-0.5717,0.4352,-0.1717
211,4.2200,0.0778,0.0128,0.1742,-0.4625,-1.2230,-0.0515,0.0975,0.3765,0.1488,-0.0153,0.5400,-0.0718
212,4.2400,0.0689,-0.0128,0.1658,-0.4379,-1.3409,-0.7884,0.0223,0.4136,0.1680,-0.3036,0.6367,-0.7839
213,4.2600,0.0605,-0.0410,0.1530,-0.4157,-1.4763,-0.4936,-0.2295,0.4210,0.1589,-1.3711,0.4705,-0.4860
214,4.2800,0.0525,-0.0716,0.1594,-0.3946,-1.5898,1.1395,-0.2720,0.4490,0.1506,-1.4189,0.5108,1.1339
215,4.3000,0.0449,-0.1047,0.1842,-0.3701,-1.7122,1.3350,-0.0560,0.4872,0.1608,-0.3046,0.6175,1.3167
216,4.3200,0.0379,-0.1403,0.1944,-0.3417,-1.8536,-0.3105,-0.0534,0.4767,0.1526,-0.2466,0.3081,-0.3448
217,4.3400,0.0315,-0.1784,0.1876,-0.3135,-1.9517,-0.3735,0.0048,0.5050,0.1282,0.0520,0.3908,-0.4226
218,4.3600,0.0256,-0.2185,0.1771,-0.2871,-2.0643,-0.6714,0.2416,0.3683,0.1316,1.1404,-0.8430,-0.7074
219,4.3800,0.0202,-0.2591,0.1473,-0.2642,-1.9928,-2.3060,0.2939,0.3323,0.1013,1.2946,-0.9273,-2.3418
220,4.4000,0.0152,-0.2981,0.0999,-0.2496,-1.9056,-2.4410,0.3379,0.2584,0.0377,1.3794,-1.2797,-2.4904
221,4.4200,0.0104,-0.3348,0.0529,-0.2443,-1.7618,-2.2609,0.1656,0.1547,-0.0017,0.4926,-1.7584,-2.3028
222,4.4400,0.0056,-0.3678,0.0224,-0.2470,-1.5405,-0.7835,0.2478,0.1021,-0.0411,0.8072,-1.6906,-0.8326
223,4.4600,0.0007,-0.3964,0.0044,-0.2541,-1.3223,-1.0148,0.1829,0.0317,-0.0473,0.4438,-1.7757,-1.0526
224,4.4800,-0.0044,-0.4205,-0.0105,-0.2646,-1.0842,-0.4806,0.0501,-0.0581,-0.0628,-0.2012,-1.9808,-0.5182
225,4.5000,-0.0097,-0.4394,-0.0098,-0.2766,-0.8076,0.5508,0.0359,-0.1842,-0.0649,-0.2599,-2.4023,0.5114
226,4.5200,-0.0152,-0.4521,0.0025,-0.2872,-0.4588,0.6775,-0.0638,-0.2001,-0.0609,-0.6993,-1.8296,0.6315
227,4.5400,-0.0210,-0.4585,0.0224,-0.2948,-0.1860,1.3155,0.0302,-0.0958,-0.0587,-0.2373,-0.4757,1.2547
228,4.5600,-0.0268,-0.4615,0.0422,-0.2981,-0.1100,0.6636,0.0336,-0.0635,-0.0359,-0.2070,-0.0784,0.6065
229,4.5800,-0.0327,-0.4635,0.0537,-0.2985,-0.0918,0.4873,0.1241,-0.1182,-0.0007,0.2285,-0.4777,0.4521
230,4.6000,-0.0385,-0.4645,0.0551,-0.2975,-0.0129,-0.3489,0.1321,-0.1811,0.0127,0.2530,-0.8224,-0.3729
231,4.6200,-0.0444,-0.4634,0.0467,-0.2975,0.1204,-0.4873,0.0348,-0.2423,0.0062,-0.2023,-1.0496,-0.5092
232,4.6400,-0.0502,-0.4593,0.0439,-0.2988,0.2919,0.2059,-0.0095,-0.2182,0.0115,-0.3760,-0.5384,0.1915
233,4.6600,-0.0561,-0.4525,0.0505,-0.2996,0.3908,0.4512,-0.0668,-0.2439,0.0230,-0.5923,-0.5638,0.4415
234,4.6800,-0.0620,-0.4436,0.0622,-0.2986,0.4963,0.7219,-0.0077,-0.3430,0.0280,-0.2737,-1.1535,0.7064
235,4.7000,-0.0679,-0.4317,0.0719,-0.2952,0.6938,0.2510,0.0955,-0.2818,0.0044,0.1957,-0.3130,0.2064
236,4.7200,-0.0736,-0.4171,0.0714,-0.2910,0.7695,-0.3047,-0.0033,-0.4409,0.0435,-0.2349,-1.4385,-0.3136
237,4.7400,-0.0793,-0.3992,0.0692,-0.2873,1.0173,0.0871,0.0941,-0.5169,0.0384,0.2282,-1.5793,0.0758
238,4.7600,-0.0849,-0.3761,0.0646,-0.2840,1.2932,-0.5513,0.3103,-0.6079,0.0279,1.1782,-1.7895,-0.5675
239,4.7800,-0.0905,-0.3471,0.0399,-0.2834,1.6084,-1.9133,0.3525,-0.5732,-0.0035,1.2602,-0.9478,-1.9352
240,4.8000,-0.0961,-0.3130,0.0015,-0.2894,1.8049,-1.9283,0.2731,-0.5801,-0.0402,0.7892,-0.6725,-1.9483
241,4.8200,-0.1018,-0.2753,-0.0285,-0.3023,1.9647,-1.0771,0.4418,-0.5585,-0.0352,1.4876,-0.2513,-1.0659
242,4.8400,-0.1079,-0.2350,-0.0608,-0.3207,2.0647,-2.1489,0.5365,-0.4649,-0.0349,1.7916,0.6128,-2.1092
243,4.8600,-0.1145,-0.1940,-0.1091,-0.3472,2.0359,-2.6774,0.4581,-0.4640,-0.0967,1.2589,0.4971,-2.6503
244,4.8800,-0.1216,-0.1534,-0.1521,-0.3830,2.0228,-1.6217,0.2682,-0.4048,-0.1246,0.2836,0.8709,-1.5818
245,4.9000,-0.1296,-0.1136,-0.1688,-0.4248,1.9518,-0.0556,0.3216,-0.4002,-0.1508,0.4647,0.7048,-0.0247
246,4.9200,-0.1384,-0.0751,-0.1709,-0.4679,1.9029,-0.1532,0.3126,-0.3919,-0.1803,0.3348,0.6144,-0.1470
247,4.9400,-0.1481,-0.0374,-0.1706,-0.5113,1.8653,0.1889,0.1877,-0.2720,-0.1961,-0.2993,1.4218,0.1807
248,4.9600,-0.1587,-0.0017,-0.1566,-0.5533,1.7037,1.2103,0.1886,-0.2315,-0.1875,-0.3076,1.3672,1.1975
249,4.9800,-0.1701,0.0308,-0.1324,-0.5913,1.5448,1.2081,0.0582,-0.1625,-0.1354,-0.8770,1.5460,1.2202
250,5.0000,-0.1822,0.0597,-0.1026,-0.6240,1.3533,1.7653,0.0132,-0.1798,-0.1176,-1.0308,0.9928,1.7667
251,5.0200,-0.1949,0.0857,-0.0656,-0.6501,1.2393,1.9375,-0.0394,-0.1011,-0.0719,-1.1865,1.3479,1.9465
252,5.0400,-0.2080,0.1087,-0.0267,-0.6685,1.0676,1.9516,-0.1820,-0.0254,-0.0240,-1.7218,1.5705,1.9683
253,5.0600,-0.2214,0.1280,0.0179,-0.6789,0.8567,2.5142,-0.2005,-0.0316,0.0139,-1.6553,1.0823,2.5247
254,5.0800,-0.2350,0.1437,0.0658,-0.6798,0.7130,2.2767,-0.3275,0.0228,0.0883,-2.0499,1.2062,2.3104
255,5.1000,-0.2484,0.1563,0.1135,-0.6715,0.5461,2.4922,-0.4642,0.1143,0.1284,-2.4628,1.5794,2.5186
256,5.1200,-0.2616,0.1649,0.1680,-0.6531,0.3176,2.9512,-0.5870,0.0621,0.1919,-2.7566,0.7135,2.9851
257,5.1400,-0.2744,0.1702,0.2287,-0.6232,0.2131,3.1220,-0.6063,0.0622,0.2815,-2.5345,0.5060,3.1807
258,5.1600,-0.2864,0.1737,0.2838,-0.5816,0.1369,2.3887,-0.8617,0.0552,0.3405,-3.3905,0.3018,2.4498
259,5.1800,-0.2974,0.1760,0.3416,-0.5294,0.0893,3.3890,-0.8736,0.1095,0.3969,-3.0728,0.6354,3.4479
260,5.2000,-0.3073,0.1768,0.4029,-0.4649,-0.0102,2.7401,-0.8134,0.0760,0.4612,-2.4461,0.1821,2.8006
261,5.2200,-0.3158,0.1762,0.4458,-0.3899,-0.0439,1.5480,-0.9411,0.1300,0.4886,-2.7191,0.5451,1.5937
262,5.2400,-0.3227,0.1745,0.4798,-0.3078,-0.1334,1.8544,-1.1642,0.1159,0.5346,-3.3718,0.2673,1.9099
263,5.2600,-0.3279,0.1713,0.5248,-0.2179,-0.1835,2.6513,-1.1026,0.0765,0.5777,-2.6918,-0.1292,2.7041
264,5.2800,-0.3312,0.1677,0.5667,-0.1189,-0.1749,1.5376,-0.9658,0.0554,0.6076,-1.7347,-0.2662,1.5790
265,5.3000,-0.3325,0.1645,0.5824,-0.0140,-0.1451,0.0277,-1.0606,0.0125,0.6165,-1.8935,-0.5322,0.0623
266,5.3200,-0.3316,0.1623,0.5850,0.0923,-0.0741,0.2354,-1.0727,0.1137,0.5966,-1.6782,0.4075,0.2496
267,5.3400,-0.3286,0.1601,0.5883,0.1993,-0.1430,0.0953,-0.9105,0.1593,0.5964,-0.6928,0.6371,0.1061
268,5.3600,-0.3234,0.1562,0.5762,0.3060,-0.2485,-1.3045,-0.5665,0.1756,0.6208,1.0452,0.5680,-1.2617
269,5.3800,-0.3161,0.1503,0.5230,0.4067,-0.3465,-4.0146,-0.2918,0.2815,0.5510,2.2808,1.2166,-3.9872
270,5.4000,-0.3070,0.1413,0.4275,0.4925,-0.5453,-5.5409,-0.3614,0.2302,0.4660,1.8664,0.4421,-5.5047
271,5.4200,-0.2963,0.1296,0.3263,0.5584,-0.6326,-4.5760,-0.1501,0.2142,0.3528,2.7129,0.1673,-4.5510
272,5.4400,-0.2844,0.1164,0.2281,0.6053,-0.6806,-5.2414,-0.2093,0.1459,0.2362,2.2487,-0.4370,-5.2331
273,5.4600,-0.2719,0.1032,0.1355,0.6331,-0.6382,-4.0166,-0.1879,0.1673,0.1638,2.1915,-0.1623,-3.9906
274,5.4800,-0.2589,0.0905,0.0595,0.6448,-0.6358,-3.5862,-0.1341,0.2527,0.1108,2.2749,0.5332,-3.5405
275,5.5000,-0.2459,0.0768,-0.0112,0.6423,-0.7382,-3.4829,-0.1395,0.2661,0.0398,2.0598,0.4599,-3.4382
276,5.5200,-0.2331,0.0611,-0.0745,0.6267,-0.8321,-2.8456,0.0067,0.1950,-0.0140,2.5371,-0.2543,-2.7933
277,5.5400,-0.2207,0.0445,-0.1360,0.5993,-0.8204,-3.3055,0.1461,0.1556,-0.0991,2.9080,-0.5125,-3.2749
278,5.5600,-0.2090,0.0286,-0.2037,0.5592,-0.7689,-3.4674,-0.0319,0.1462,-0.1531,1.8349,-0.4581,-3.4252
279,5.5800,-0.1982,0.0137,-0.2552,0.5071,-0.7237,-1.6876,-0.0340,0.0420,-0.2286,1.6098,-1.1597,-1.6674
280,5.6000,-0.1886,0.0008,-0.2817,0.4479,-0.5707,-0.9537,0.1232,-0.0097,-0.2489,2.1277,-1.2419,-0.9284
281,5.6200,-0.1802,-0.0089,-0.3076,0.3841,-0.4005,-1.6365,0.1558,-0.0476,-0.2701,2.0370,-1.1873,-1.6075
282,5.6400,-0.1731,-0.0153,-0.3386,0.3146,-0.2332,-1.4648,0.1380,-0.1280,-0.2974,1.7237,-1.4759,-1.4330
283,5.6600,-0.1675,-0.0178,-0.3623,0.2398,-0.0171,-0.9110,0.1057,-0.2108,-0.3151,1.3703,-1.6939,-0.8745
284,5.6800,-0.1634,-0.0156,-0.3748,0.1616,0.2384,-0.3330,0.0340,-0.1764,-0.3160,0.8738,-0.9242,-0.2870
285,5.7000,-0.1610,-0.0093,-0.3744,0.0824,0.3850,0.3747,-0.0856,-0.1654,-0.3307,0.1897,-0.5580,0.4067
286,5.7200,-0.1601,-0.0007,-0.3560,0.0051,0.4804,1.4584,-0.1658,-0.2577,-0.3280,-0.2576,-1.1051,1.4760
287,5.7400,-0.1607,0.0107,-0.3202,-0.0665,0.6613,2.1290,-0.1478,-0.2067,-0.3031,-0.2201,-0.3667,2.1366
288,5.7600,-0.1626,0.0247,-0.2792,-0.1302,0.7355,1.9686,-0.2032,-0.2279,-0.2726,-0.5083,-0.4067,1.9668
289,5.7800,-0.1658,0.0402,-0.2371,-0.1857,0.8177,2.2386,-0.1836,-0.2534,-0.2477,-0.4339,-0.4663,2.2217
290,5.8000,-0.1700,0.0575,-0.1945,-0.2325,0.9110,2.0237,-0.1195,-0.2052,-0.2122,-0.1550,0.0696,2.0008
291,5.8200,-0.1750,0.0759,-0.1599,-0.2715,0.9257,1.4350,-0.1059,-0.1193,-0.1865,-0.1226,0.7442,1.4046
292,5.8400,-0.1808,0.0935,-0.1331,-0.3044,0.8384,1.2455,-0.1225,-0.1040,-0.1470,-0.2088,0.6670,1.2269
293,5.8600,-0.1871,0.1095,-0.1091,-0.3322,0.7598,1.1570,-0.1946,-0.0595,-0.1294,-0.5419,0.8381,1.1330
294,5.8800,-0.1940,0.1236,-0.0819,-0.3549,0.6527,1.5605,-0.3725,-0.0479,-0.0799,-1.2957,0.6991,1.5567
295,5.9000,-0.2013,0.1358,-0.0421,-0.3710,0.5631,2.4228,-0.3437,0.0092,-0.0557,-1.0729,0.9537,2.4052
296,5.9200,-0.2088,0.1458,0.0025,-0.3783,0.4321,2.0282,-0.5825,-0.0179,-0.0020,-2.0449,0.4717,2.0191
297,5.9400,-0.2163,0.1538,0.0547,-0.3763,0.3700,3.1920,-0.4401,-0.0607,0.0537,-1.2172,0.0059,3.1860
298,5.9600,-0.2237,0.1612,0.1042,-0.3633,0.3763,1.7604,-0.5065,-0.0669,0.1043,-1.3893,-0.0378,1.7555
299,5.9800,-0.2308,0.1689,0.1393,-0.3424,0.3894,1.7472,-0.3572,-0.0591,0.1186,-0.5879,0.0413,1.7241
300,6.0000,-0.2374,0.1767,0.1621,-0.3152,0.3907,0.5390,-0.0609,-0.0663,0.1418,0.8163,-0.0205,0.5166
301,6.0200,-0.2434,0.1846,0.1509,-0.2865,0.4013,-1.6614,0.0341,-0.0720,0.1434,1.2035,-0.0520,-1.6721
302,6.0400,-0.2488,0.1928,0.1111,-0.2630,0.4168,-2.3160,0.0798,-0.0380,0.1164,1.3328,0.2368,-2.3152
303,6.0600,-0.2538,0.2009,0.0638,-0.2482,0.3891,-2.4149,-0.0234,0.0530,0.0864,0.7803,0.8858,-2.3989
304,6.0800,-0.2587,0.2074,0.0248,-0.2418,0.2622,-1.4870,-0.2159,0.0627,0.0815,-0.1156,0.7061,-1.4411
305,6.1000,-0.2634,0.2116,0.0084,-0.2408,0.1586,-0.1550,-0.2224,-0.0062,0.0637,-0.1224,-0.0388,-0.1111
306,6.1200,-0.2682,0.2148,0.0067,-0.2410,0.1647,-0.0149,-0.3351,0.0177,0.0399,-0.6200,0.1602,0.0087
307,6.1400,-0.2730,0.2179,0.0151,-0.2406,0.1408,0.8610,-0.1752,0.0256,0.0391,0.1523,0.1742,0.8761
308,6.1600,-0.2778,0.2204,0.0214,-0.2379,0.1140,-0.2297,-0.1104,0.0342,0.0475,0.4384,0.1900,-0.2131
309,6.1800,-0.2825,0.2224,0.0119,-0.2355,0.0841,-0.7236,0.0799,0.0189,0.0210,1.2471,0.0130,-0.7223
310,6.2000,-0.2872,0.2240,-0.0132,-0.2362,0.0801,-1.7884,-0.1232,-0.0156,-0.0089,0.2247,-0.2628,-1.7914
311,6.2200,-0.2920,0.2260,-0.0329,-0.2418,0.1178,-0.1800,0.0205,-0.0040,-0.0448,0.8321,-0.0959,-0.1972
312,6.2400,-0.2969,0.2285,-0.0432,-0.2496,0.1313,-0.8463,0.0387,-0.0094,-0.0660,0.8226,-0.1110,-0.8728
313,6.2600,-0.3020,0.2313,-0.0591,-0.2599,0.1475,-0.7526,-0.2088,-0.0125,-0.0762,-0.3684,-0.1027,-0.7736
314,6.2800,-0.3073,0.2344,-0.0563,-0.2718,0.1630,1.0327,-0.1516,0.0254,-0.0702,-0.0916,0.2243,1.0149
315,6.3000,-0.3128,0.2373,-0.0396,-0.2809,0.1294,0.6430,-0.2112,0.1181,-0.0315,-0.3460,0.8833,0.6449
316,6.3200,-0.3185,0.2386,-0.0252,-0.2869,-0.0047,0.7977,-0.3834,0.1582,-0.0339,-1.1022,0.9346,0.7848
317,6.3400,-0.3243,0.2370,0.0022,-0.2888,-0.1506,1.9442,-0.1940,0.1075,0.0080,-0.1493,0.2576,1.9442
318,6.3600,-0.3301,0.2335,0.0254,-0.2849,-0.1984,0.3708,-0.3381,0.0175,0.0382,-0.7718,-0.5305,0.3770
319,6.3800,-0.3357,0.2303,0.0400,-0.2777,-0.1282,1.0933,-0.4451,0.0286,0.0649,-1.1649,-0.2960,1.1101
320,6.4000,-0.3412,0.2281,0.0666,-0.2661,-0.0912,1.5647,-0.5235,0.0111,0.0830,-1.4029,-0.3526,1.5737
321,6.4200,-0.3464,0.2267,0.1009,-0.2483,-0.0445,1.8666,-0.5795,0.0345,0.1079,-1.5158,-0.0713,1.8672
322,6.4400,-0.3512,0.2259,0.1391,-0.2232,-0.0389,1.9515,-0.6140,0.0826,0.1351,-1.5180,0.3213,1.9423
323,6.4600,-0.3553,0.2246,0.1772,-0.1903,-0.0923,1.8605,-0.4717,0.0452,0.1654,-0.7217,-0.0712,1.8445
324,6.4800,-0.3588,0.2228,0.2016,-0.1508,-0.0880,0.5724,-0.5879,0.0873,0.1866,-1.1454,0.2732,0.5540
325,6.5000,-0.3614,0.2205,0.2181,-0.1076,-0.1354,1.0777,-0.6353,0.1125,0.2267,-1.2019,0.3839,1.0805
326,6.5200,-0.3631,0.2172,0.2387,-0.0603,-0.2009,0.9836,-0.6566,0.2037,0.2532,-1.1409,0.9775,0.9916
327,6.5400,-0.3638,0.2116,0.2563,-0.0091,-0.3580,0.7845,-0.7358,0.1778,0.2742,-1.3416,0.4765,0.7952
328,6.5600,-0.3635,0.2036,0.2742,0.0456,-0.4438,0.9972,-0.4618,0.1619,0.2785,0.0482,0.1986,0.9959
329,6.5800,-0.3621,0.1942,0.2739,0.1029,-0.4899,-1.0215,-0.5616,0.2943,0.2904,-0.3417,1.1606,-1.0122
330,6.6000,-0.3595,0.1825,0.2581,0.1580,-0.6826,-0.5590,-0.5140,0.2647,0.2865,-0.0369,0.5703,-0.5393
331,6.6200,-0.3558,0.1678,0.2428,0.2106,-0.7914,-0.9686,-0.5932,0.2449,0.2797,-0.3301,0.2261,-0.9418
332,6.6400,-0.3511,0.1513,0.2281,0.2601,-0.8510,-0.5089,-0.5345,0.2412,0.2398,-0.0052,0.1063,-0.5048
333,6.6600,-0.3454,0.1339,0.2156,0.3073,-0.8939,-0.7418,-0.5538,0.2118,0.2195,-0.0528,-0.1793,-0.7446
334,6.6800,-0.3388,0.1160,0.2025,0.3521,-0.8944,-0.5628,-0.5687,0.1946,0.1818,-0.0923,-0.2863,-0.5873
335,6.7000,-0.3314,0.0983,0.1940,0.3950,-0.8783,-0.2857,-0.4751,0.2561,0.1615,0.3601,0.2542,-0.3203
336,6.7200,-0.3231,0.0801,0.1829,0.4363,-0.9430,-0.8267,-0.4380,0.0426,0.1618,0.5316,-1.5155,-0.8505
337,6.7400,-0.3140,0.0632,0.1636,0.4748,-0.7417,-1.1044,-0.2931,0.0844,0.1411,1.1606,-0.7658,-1.1289
338,6.7600,-0.3042,0.0493,0.1332,0.5087,-0.6473,-1.9380,-0.5155,0.0900,0.1273,0.0967,-0.5152,-1.9475
339,6.7800,-0.2938,0.0370,0.1103,0.5368,-0.5877,-0.3524,-0.4298,0.0708,0.1316,0.5116,-0.5293,-0.3378
340,6.8000,-0.2828,0.0259,0.0971,0.5623,-0.5240,-0.9604,-0.6898,0.0256,0.1181,-0.6746,-0.7419,-0.9464
341,6.8200,-0.2714,0.0164,0.0959,0.5858,-0.4259,0.8336,-0.5911,0.0145,0.1009,-0.1626,-0.6221,0.8334
342,6.8400,-0.2594,0.0087,0.1066,0.6111,-0.3429,0.2399,-0.3944,-0.0557,0.1232,0.7608,-0.9976,0.2500
343,6.8600,-0.2470,0.0032,0.0965,0.6369,-0.2005,-1.2481,-0.2904,-0.0455,0.1284,1.1912,-0.6303,-1.2247
344,6.8800,-0.2341,0.0001,0.0644,0.6585,-0.1093,-1.9666,-0.2338,-0.0629,0.0839,1.3499,-0.5837,-1.9546
345,6.9000,-0.2208,-0.0012,0.0247,0.6729,-0.0224,-2.0043,-0.1934,-0.0991,0.0303,1.4121,-0.6958,-2.0048
346,6.9200,-0.2073,-0.0006,-0.0138,0.6798,0.0840,-1.8406,-0.2756,-0.0539,-0.0336,0.9016,-0.1352,-1.8635
347,6.9400,-0.1937,0.0014,-0.0399,0.6803,0.1087,-0.7720,0.1029,-0.0201,-0.0443,2.5172,0.1732,-0.7809
348,6.9600,-0.1802,0.0033,-0.0786,0.6756,0.0875,-3.0982,0.0233,-0.0608,-0.0669,1.9351,-0.1919,-3.0928
349,6.9800,-0.1668,0.0054,-0.1321,0.6610,0.1208,-2.2476,0.1122,-0.0951,-0.0955,2.1590,-0.3995,-2.2204
350,7.0000,-0.1539,0.0085,-0.1792,0.6370,0.1864,-2.4673,-0.0762,-0.1021,-0.1528,1.0925,-0.3307,-2.4494
351,7.0200,-0.1415,0.0128,-0.2104,0.6049,0.2435,-0.6515,-0.1139,-0.0766,-0.1943,0.7865,-0.0273,-0.6431
352,7.0400,-0.1298,0.0178,-0.2166,0.5696,0.2562,0.0362,-0.0525,-0.1231,-0.2253,0.9361,-0.3751,0.0226
353,7.0600,-0.1189,0.0236,-0.2163,0.5342,0.3218,-0.0142,-0.1513,-0.0706,-0.2059,0.3816,0.1550,-0.0107
354,7.0800,-0.1086,0.0299,-0.2098,0.4993,0.3090,0.6657,-0.2624,0.0015,-0.2047,-0.1920,0.6830,0.6645
355,7.1000,-0.0990,0.0351,-0.1880,0.4674,0.2158,1.5121,-0.2879,0.0200,-0.1722,-0.3177,0.6349,1.5203
356,7.1200,-0.0901,0.0385,-0.1575,0.4410,0.1270,1.5462,-0.1689,0.0526,-0.1393,0.2154,0.7082,1.5563
357,7.1400,-0.0816,0.0400,-0.1360,0.4200,0.0243,0.5963,-0.1324,0.0101,-0.1057,0.3444,0.1704,0.6170
358,7.1600,-0.0734,0.0403,-0.1281,0.4020,-0.0001,0.1971,-0.4036,-0.0838,-0.1211,-0.9358,-0.6125,0.1969
359,7.1800,-0.0656,0.0412,-0.1046,0.3864,0.0932,2.1553,-0.3027,-0.0611,-0.0938,-0.4184,-0.2537,2.1584
360,7.2000,-0.0581,0.0435,-0.0698,0.3775,0.1349,1.3187,-0.2344,0.0244,-0.0736,-0.0992,0.4933,1.3089
361,7.2200,-0.0507,0.0455,-0.0492,0.3741,0.0649,0.7412,-0.0093,0.0307,-0.0346,0.9184,0.4010,0.7479
362,7.2400,-0.0433,0.0462,-0.0516,0.3729,0.0067,-0.9807,0.0893,0.0007,-0.0718,1.2468,0.0497,-1.0050
363,7.2600,-0.0360,0.0463,-0.0746,0.3689,-0.0002,-1.3156,0.0159,-0.0298,-0.0857,0.7978,-0.2029,-1.3314
364,7.2800,-0.0288,0.0466,-0.0940,0.3605,0.0310,-0.6259,-0.0267,0.0140,-0.1288,0.5014,0.2003,-0.6622
365,7.3000,-0.0217,0.0469,-0.0998,0.3498,0.0020,0.0428,-0.2386,0.0199,-0.1362,-0.5177,0.1883,0.0056
366,7.3200,-0.0149,0.0467,-0.0836,0.3400,-0.0259,1.5850,-0.1648,-0.0324,-0.1381,-0.1776,-0.2761,1.5324
367,7.3400,-0.0083,0.0466,-0.0562,0.3351,0.0155,1.1513,-0.3672,-0.0123,-0.0823,-1.0705,-0.0377,1.1247
368,7.3600,-0.0017,0.0470,-0.0232,0.3359,0.0221,2.1537,-0.1062,-0.0335,-0.0550,0.1777,-0.1908,2.1226
369,7.3800,0.0050,0.0477,0.0006,0.3432,0.0520,0.2259,-0.1287,-0.0249,-0.0345,0.0521,-0.0668,0.1924
370,7.4000,0.0118,0.0489,0.0055,0.3528,0.0640,0.2554,-0.1068,-0.0660,-0.0276,0.1410,-0.3661,0.2243
371,7.4200,0.0189,0.0507,0.0089,0.3633,0.1216,0.0871,-0.1799,-0.0406,-0.0162,-0.1978,-0.0572,0.0636
372,7.4400,0.0262,0.0533,0.0149,0.3747,0.1342,0.5149,-0.2489,-0.0999,-0.0008,-0.4843,-0.5005,0.5001
373,7.4600,0.0337,0.0568,0.0287,0.3882,0.2141,0.8670,-0.2988,-0.0608,0.0267,-0.6536,-0.0425,0.8646
374,7.4800,0.0415,0.0612,0.0473,0.4049,0.2270,0.9868,-0.3640,-0.0399,0.0498,-0.8767,0.1388,0.9885
375,7.5000,0.0497,0.0656,0.0692,0.4257,0.2128,1.2127,-0.3893,0.0157,0.0835,-0.8919,0.5391,1.2246
376,7.5200,0.0584,0.0691,0.0922,0.4511,0.1376,1.0825,-0.3200,0.0183,0.1075,-0.4834,0.4057,1.0952
377,7.5400,0.0676,0.0712,0.1068,0.4803,0.0802,0.3759,-0.1167,0.0294,0.1019,0.4775,0.3766,0.3706
378,7.5600,0.0774,0.0723,0.1005,0.5106,0.0254,-1.0022,-0.2163,-0.0411,0.0829,-0.0012,-0.2847,-1.0187
379,7.5800,0.0878,0.0732,0.0882,0.5385,0.0690,-0.2344,-0.0453,-0.0616,0.0703,0.7784,-0.3603,-0.2508
